Word	Counts	Cluster
regulations	312	5
farm	312	16
excellent	311	7
usual	311	9
indictment	311	6
joseph	310	15
author	310	0
passing	310	9
page	310	9
crowded	310	16
avoid	310	17
teachers	310	16
necessarily	310	7
oct	310	9
printed	309	11
scheme	309	0
preceding	309	9
square	309	3
pages	309	5
temptation	308	8
save	308	17
earn	308	17
remark	307	0
visiting	307	11
religious_instruction	307	5
released	307	10
names	307	11
containing	307	16
idle	307	8
assist	306	17
situation	305	0
earnest	305	7
reformed	305	10
reduced	305	10
injury	305	6
treated	305	10
reception	305	16
fit	304	7
winter	304	9
reasonable	304	7
requires	304	4
fallen	304	10
exposed	303	10
language	303	0
worse	303	8
debtors	302	16
towns	302	16
intelligent	302	7
main	302	7
s	301	15
satisfied	301	10
messrs	301	11
f	300	15
political	300	7
dangerous	300	7
understood	300	10
argument	300	0
ignorant	300	8
serve	299	17
sufficiently	299	7
respects	299	5
altogether	299	7
seek	298	17
years_ago	298	9
clothes	298	2
sept	298	15
solitude	298	8
vast	297	7
field	297	3
motives	297	5
leading	297	7
legal	297	6
innocent	297	6
least	297	7
districts	297	16
stage	296	0
chapel	296	3
ed	296	10
periods	296	9
improvements	296	5
benevolence	295	8
wise	295	7
apply	295	17
date	295	9
laid	294	10
income	294	2
refer	294	17
offer	293	17
directly	293	7
encouragement	293	0
maine	293	16
regards	293	4
countries	292	5
rights	292	8
followed	292	10
passage	292	3
obvious	292	7
authorized	292	10
servants	292	16
design	291	0
ends	291	5
capable	291	7
particularly	290	7
founded	290	10
suggest	290	17
takes	290	4
constantly	289	7
consequences	289	5
express	289	17
ways	289	8
described	289	10
possession	289	6
points	289	5
violence	289	6
ithink	289	7
en	288	7
learned	288	10
expenditure	288	2
gain	288	17
pre	288	7
cash	288	2
intellectual	288	8
sanitary	288	7
permitted	287	10
bed	287	3
presence	287	8
dated	287	15
subjected	287	10
removal	287	11
session	286	9
mrs	286	15
changes	286	5
desired	286	10
debts	286	2
appointment	285	11
administered	285	10
army	285	9
named	284	10
procure	284	17
skill	284	5
worst	284	7
convictions	284	9
accounts	283	5
upwards	283	9
agents	283	11
gaols	283	16
residence	282	9
raised	281	10
error	281	0
citizen	281	6
fifth	281	9
prescribed	280	10
henry	279	15
step	279	0
captain	279	11
improve	279	17
grounds	279	5
appropriate	278	7
expect	278	17
receiving	278	2
accomplished	278	10
worth	278	2
evident	278	7
follow	278	17
expiration	278	9
guilt	278	8
un	278	7
contract	278	2
extensive	277	7
aware	277	10
efficient	277	7
approved	277	11
shops	277	3
carefully	277	11
road	277	3
urged	276	10
marked	276	10
concerned	276	10
misdemeanor	276	6
contains	276	4
reward	275	0
healthy	275	7
iii	275	15
accommodation	275	2
son	274	15
noticed	274	10
drawn	274	10
eye	274	0
april	274	9
legislative	274	11
chair	273	3
stand	273	17
earl	273	11
grant	272	2
establish	272	17
counsel	272	11
press	272	8
social_science	272	0
knew	271	4
devoted	271	10
address	271	11
commenced	271	10
restored	271	10
remarkable	271	7
attempts	271	5
liberal	271	7
acting_committee	271	11
iv	270	15
slave	270	6
code	270	0
let_us	270	4
abuse	270	0
october	270	9
french	270	16
science	269	5
comes	269	4
note	269	11
carry	268	17
carrying	268	4
story	268	3
drunkenness	268	6
meetings	267	11
compelled	267	10
girl	267	6
probable	267	7
gratifying	267	7
lower	266	3
hoped	265	10
abuses	265	5
keeping	265	4
teaching	265	4
employ	265	17
pauper	265	16
suffered	264	10
promote	264	17
turn	264	17
west	264	16
limits	264	5
exists	264	4
lunatics	264	16
disposition	264	0
materials	263	5
habit	263	8
great_britain	263	16
comparison	263	0
parent	262	6
conversation	262	1
quarter	262	9
smith	262	15
diminution	262	0
ship	262	16
forward	261	7
apparent	261	7
miserable	261	8
cleanliness	261	7
saw	261	4
american	260	16
thoroughly	260	7
release	260	6
east	260	16
dealing	260	1
adoption	260	0
associate	259	1
granted	259	10
sickness	259	9
treasury	259	2
obtaining	259	4
clearly	258	7
enabled	258	10
earnestly	258	7
performed	257	10
ample	257	7
practicable	256	7
respecting	256	4
interested	256	10
n	255	15
forms	255	5
exception	255	1
lately	255	11
m	254	15
responsibility	254	0
misery	254	8
advance	254	0
ages	254	9
discussion	254	0
wages	254	2
beneficial	253	7
judicious	253	7
november	253	9
simply	253	7
workhouse	253	16
designed	252	10
failed	252	10
try	252	17
eyes	251	8
north	251	16
welfare	251	8
surely	251	17
thorough	251	7
reasons	251	5
submitted	251	10
idleness	251	8
truly	250	7
objection	250	0
contrary	250	7
charges	250	6
theft	250	6
robert	250	15
regret	250	0
safety	249	8
mercy	249	8
impression	249	0
inflicted	249	10
failure	249	0
inspector	249	11
actually	249	6
nation	249	0
sort	249	0
determined	249	10
d	248	15
hon	248	11
effected	248	10
kinds	248	5
profitable	248	7
suggestions	248	5
deal	248	1
settled	247	10
injurious	247	7
task	247	0
sources	247	5
sought	247	10
competent	247	7
suit	247	6
maintain	246	17
hopes	246	8
miles	246	16
motion	246	11
voluntary	246	7
payable	246	15
enforced	246	10
relations	246	5
faithful	245	7
saved	245	10
per_annum	245	2
wood	245	3
war	244	9
prevented	244	10
gone	244	10
selected	244	10
royal	244	11
assembly	244	11
outside	244	3
longer	243	9
thrown	243	10
fraud	243	6
turned	243	10
charities	243	5
stock	242	2
hitherto	242	7
remains	242	4
encourage	242	17
extend	242	17
punish	242	17
estimate	242	0
zeal	241	8
summer	241	9
extract	241	0
tendency	241	0
brown	241	15
practised	241	10
resolved	240	10
everything	240	8
model	240	16
resolutions	240	5
sale	240	2
features	240	5
congress	240	11
brief	239	7
relative	239	4
introduction	239	0
season	239	9
offices	239	5
previously	239	9
structure	239	5
trained	238	10
elsewhere	238	16
september	238	9
temptations	238	8
satisfaction	237	0
separated	237	10
exceed	237	17
formerly	237	16
sunday	237	9
lessons	236	5
ones	236	5
increasing	236	7
guard	236	3
ourselves	236	0
island	236	16
associated	235	1
caused	235	10
acquainted	235	1
salary	235	2
justices	235	6
mischief	235	8
proceed	235	17
request	235	11
sums	235	2
line	235	3
noble	234	15
bodily	234	8
broken	234	10
responsible	234	10
hill	234	15
recommend	234	17
attorney	234	11
dark	233	3
mean	233	17
compared	233	1
face	233	3
ability	233	8
escaped	233	10
new_hampshire	233	16
ohio	233	16
hardly	233	7
temporary	233	7
plain	232	7
whenever	232	7
parliament	232	11
condemned	231	10
consequently	231	7
pauperism	231	16
thanks	231	11
parish	230	16
grave	230	7
diseases	230	5
looked	230	10
considerations	230	5
south	230	16
looking	230	4
apartments	230	3
pursued	230	10
weeks	229	9
occupy	229	17
errors	229	5
readily	229	7
chance	229	0
liverpool	228	16
distinguished	227	10
year_ending	227	9
saving	227	2
forgery	227	6
advice	226	11
decided	226	7
exertions	226	5
freedom	226	8
train	226	3
extraordinary	226	7
remove	226	17
discretion	226	6
wholly	226	7
scale	226	0
vagrants	226	16
wretched	225	8
extreme	225	7
records	225	11
twice	225	9
mission	225	11
sustained	224	10
black	224	3
